possession_team,quarter,down,yards_to_go,yards_to_endzone,seconds_in_half_remaining,score_diff_offense,called_pass,play_result,description,cfl_game_id,play_id,distance_bucket,field_bucket,score_bucket,time_bucket
MTL,2,2,8.0,78.0,144,11.0,1,Nothing,Shotgun #7 C.Fajardo pass incomplete short middle to #25 W.Fletcher thrown to MTL37,6401,15-2	,Long (8+),Own Territory,Leading 8+,Late Half
WPG,2,1,10.0,83.0,124,-11.0,0,Nothing,Shotgun #17 C.Streveler rush middle for 5 yards gain to the WPG32 (#94 M.Johnson),6401,16-1	,Long (8+),Own Deep,Trailing 8+,Late Half
WPG,2,2,5.0,78.0,103,-11.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete short left to #86 K.Clercius caught at WPG35, for 7 yards to the WPG39 (#42 T.Richards), 1ST DOWN",6401,16-2	,Medium (4-7),Own Territory,Trailing 8+,2-min
WPG,2,1,10.0,71.0,86,-11.0,0,Nothing,Shotgun #20 B.Oliveira rush middle for 4 yards gain to the WPG43 (#26 T.Beverette),6401,16-3	,Long (8+),Own Territory,Trailing 8+,2-min
WPG,2,2,6.0,67.0,64,-11.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete short left to #82 D.Wolitarsky caught at WPG50, for 8 yards to the WPG51 (#8 N.Lyon), 1ST DOWN",6401,16-4	,Medium (4-7),Own Territory,Trailing 8+,2-min
WPG,2,1,10.0,59.0,56,-11.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete short left to #10 N.Demski caught at WPG49, for 7 yards to the MTL52 (#42 T.Richards)",6401,16-5	,Long (8+),Midfield,Trailing 8+,2-min
WPG,2,2,3.0,52.0,46,-11.0,0,Nothing,"Shotgun #20 B.Oliveira rush middle for 6 yards gain to the MTL46 (#0 S.Lemon), 1ST DOWN. #42 T.Richards injured on the play",6401,16-6	,Short (1-3),Midfield,Trailing 8+,2-min
WPG,2,1,10.0,46.0,32,-11.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete short right to #83 D.Schoen caught at MTL30, for 16 yards to the MTL30 (#22 D.Ruffin), out of bounds, 1ST DOWN",6401,16-7	,Long (8+),Midfield,Trailing 8+,2-min
WPG,2,1,10.0,30.0,26,-11.0,0,Nothing,Shotgun #20 B.Oliveira rush middle for 0 yards to the MTL30 (#2 R.Stubblefield),6401,16-8	,Long (8+),Opponent Territory,Trailing 8+,2-min
WPG,2,2,10.0,30.0,19,-11.0,1,Nothing,Shotgun #8 Z.Collaros pass incomplete deep middle to #83 D.Schoen thrown to MTL-07 broken up by #22 D.Ruffin,6401,16-9	,Long (8+),Opponent Territory,Trailing 8+,2-min
WPG,2,1,10.0,70.0,5,-9.0,1,Nothing,Shotgun #8 Z.Collaros pass incomplete short left to #10 N.Demski thrown to WPG52,6401,17-1	,Long (8+),Own Territory,Trailing 8+,2-min
MTL,3,1,10.0,73.0,1782,9.0,0,Nothing,Shotgun #25 W.Fletcher rush middle for 3 yards loss to the MTL34 (#91 J.Woods),6401,19-1	,Long (8+),Own Territory,Leading 8+,Early Half
MTL,3,2,13.0,76.0,1741,9.0,1,Penalty,"Shotgun #7 C.Fajardo pass complete short right to #85 T.Snead caught at MTL51, for 35 yards to the WPG41 (#42 S.Karamoko) PENALTY MTL Holding, offence (#65 J.Donovan) 10 yards from MTL34 to MTL24. NO PLAY",6401,19-2	,Long (8+),Own Territory,Leading 8+,Early Half
