possession_team,down,distance_bucket,field_bucket,score_bucket,time_bucket,plays,pass_prob_hist,avg_yards,avg_yards_to_endzone,avg_score_diff,avg_seconds_in_half,league_plays,league_pass_prob_hist,pass_prob_delta_vs_league
BC,2,Long (8+),Opponent Territory,Leading 1-7,Early Half,6,0.8333333333333334,10.166666666666666,32.5,5.833333333333333,1170.8333333333333,39,0.8461538461538461,-0.012820512820512775
BC,2,Long (8+),Opponent Territory,Leading 1-7,Late Half,1,1.0,10.0,21.0,6.0,560.0,17,0.8823529411764706,0.11764705882352944
BC,2,Long (8+),Opponent Territory,Leading 8+,2-min,2,1.0,10.5,27.5,20.0,57.0,10,0.8,0.19999999999999996
BC,2,Long (8+),Opponent Territory,Leading 8+,Early Half,4,1.0,10.0,26.5,16.25,1175.0,28,0.8214285714285714,0.1785714285714286
BC,2,Long (8+),Opponent Territory,Leading 8+,Late Half,3,0.3333333333333333,10.666666666666666,30.333333333333332,12.333333333333334,286.6666666666667,16,0.75,-0.4166666666666667
BC,2,Long (8+),Opponent Territory,Tied,Early Half,1,1.0,10.0,35.0,0.0,900.0,27,0.9629629629629629,0.03703703703703709
BC,2,Long (8+),Opponent Territory,Trailing 1-7,2-min,3,0.6666666666666666,10.666666666666666,28.0,-3.0,61.0,15,0.9333333333333333,-0.2666666666666667
BC,2,Long (8+),Opponent Territory,Trailing 1-7,Early Half,4,1.0,10.75,35.5,-3.5,1127.0,45,0.8888888888888888,0.11111111111111116
BC,2,Long (8+),Opponent Territory,Trailing 8+,2-min,1,1.0,10.0,37.0,-8.0,59.0,13,0.9230769230769231,0.07692307692307687
BC,2,Long (8+),Opponent Territory,Trailing 8+,Early Half,1,1.0,9.0,36.0,-9.0,1706.0,29,1.0,0.0
BC,2,Long (8+),Opponent Territory,Trailing 8+,Late Half,4,1.0,9.0,29.75,-19.5,348.75,23,1.0,0.0
BC,2,Long (8+),Own Deep,Leading 1-7,2-min,1,1.0,10.0,90.0,2.0,110.0,6,0.6666666666666666,0.33333333333333337
BC,2,Long (8+),Own Deep,Leading 1-7,Early Half,4,1.0,10.5,86.25,4.25,1029.5,35,0.9714285714285714,0.02857142857142858
BC,2,Long (8+),Own Deep,Leading 1-7,Late Half,1,1.0,8.0,97.0,5.0,180.0,15,0.8666666666666667,0.1333333333333333
BC,2,Long (8+),Own Deep,Leading 8+,Early Half,4,0.75,11.5,96.5,10.25,845.5,21,0.9047619047619048,-0.15476190476190477
BC,2,Long (8+),Own Deep,Tied,Early Half,3,1.0,11.333333333333334,86.0,0.0,1343.6666666666667,32,0.9375,0.0625
BC,2,Long (8+),Own Deep,Tied,Late Half,3,1.0,22.333333333333332,90.33333333333333,0.0,402.3333333333333,6,1.0,0.0
BC,2,Long (8+),Own Deep,Trailing 1-7,2-min,2,1.0,10.0,90.0,-4.5,73.0,8,1.0,0.0
BC,2,Long (8+),Own Deep,Trailing 1-7,Late Half,1,1.0,22.0,82.0,-2.0,379.0,20,0.95,0.050000000000000044
BC,2,Long (8+),Own Deep,Trailing 8+,2-min,3,0.3333333333333333,12.0,89.33333333333333,-17.666666666666668,30.0,19,0.7894736842105263,-0.456140350877193
BC,2,Long (8+),Own Deep,Trailing 8+,Early Half,1,1.0,10.0,85.0,-9.0,695.0,32,0.84375,0.15625
BC,2,Long (8+),Own Deep,Trailing 8+,Late Half,1,1.0,10.0,84.0,-14.0,285.0,15,0.7333333333333333,0.2666666666666667
BC,2,Long (8+),Own Territory,Leading 1-7,Early Half,7,0.8571428571428571,9.857142857142858,71.14285714285714,4.571428571428571,1000.0,79,0.9493670886075949,-0.0922242314647378
BC,2,Long (8+),Own Territory,Leading 1-7,Late Half,7,0.8571428571428571,11.571428571428571,65.71428571428571,4.571428571428571,345.0,39,0.8717948717948718,-0.014652014652014711
BC,2,Long (8+),Own Territory,Leading 8+,2-min,3,1.0,8.666666666666666,66.0,13.0,47.666666666666664,8,0.625,0.375
BC,2,Long (8+),Own Territory,Leading 8+,Early Half,6,1.0,11.5,72.5,15.333333333333334,1133.0,48,0.9166666666666666,0.08333333333333337
BC,2,Long (8+),Own Territory,Leading 8+,Late Half,4,1.0,9.75,70.0,20.25,260.75,29,0.9310344827586207,0.06896551724137934
BC,2,Long (8+),Own Territory,Tied,Early Half,8,1.0,9.75,71.125,0.0,1553.0,67,0.9402985074626866,0.05970149253731338
BC,2,Long (8+),Own Territory,Tied,Late Half,1,1.0,14.0,73.0,0.0,504.0,9,1.0,0.0
BC,2,Long (8+),Own Territory,Trailing 1-7,2-min,1,1.0,11.0,71.0,-6.0,116.0,20,0.95,0.050000000000000044
BC,2,Long (8+),Own Territory,Trailing 1-7,Early Half,9,1.0,9.666666666666666,67.66666666666667,-4.111111111111111,1197.5555555555557,105,0.9428571428571428,0.05714285714285716
BC,2,Long (8+),Own Territory,Trailing 1-7,Late Half,8,0.875,10.125,68.5,-4.875,342.0,39,0.9487179487179487,-0.07371794871794868
BC,2,Long (8+),Own Territory,Trailing 8+,Early Half,9,0.7777777777777778,11.0,71.0,-16.11111111111111,1085.4444444444443,67,0.9104477611940298,-0.13266998341625202
BC,2,Long (8+),Own Territory,Trailing 8+,Late Half,4,1.0,10.75,70.5,-20.0,353.75,37,0.9459459459459459,0.05405405405405406
BC,2,Long (8+),Red Zone,Leading 1-7,Early Half,2,0.5,9.0,14.5,2.5,994.0,18,0.8888888888888888,-0.38888888888888884
BC,2,Long (8+),Red Zone,Leading 1-7,Late Half,3,0.3333333333333333,9.666666666666666,13.333333333333334,3.0,395.3333333333333,13,0.7692307692307693,-0.43589743589743596
BC,2,Long (8+),Red Zone,Leading 8+,2-min,1,0.0,14.0,16.0,9.0,120.0,3,0.3333333333333333,-0.3333333333333333
BC,2,Long (8+),Red Zone,Leading 8+,Early Half,1,1.0,10.0,13.0,8.0,1079.0,11,0.9090909090909091,0.09090909090909094
BC,2,Long (8+),Red Zone,Leading 8+,Late Half,1,1.0,8.0,16.0,21.0,491.0,7,1.0,0.0
BC,2,Long (8+),Red Zone,Tied,Early Half,5,1.0,10.4,15.8,0.0,1317.2,24,0.9583333333333334,0.04166666666666663
BC,2,Long (8+),Red Zone,Trailing 1-7,2-min,1,1.0,10.0,11.0,-7.0,93.0,9,0.8888888888888888,0.11111111111111116
BC,2,Long (8+),Red Zone,Trailing 1-7,Early Half,1,1.0,9.0,17.0,-4.0,1020.0,18,1.0,0.0
BC,2,Long (8+),Red Zone,Trailing 1-7,Late Half,1,1.0,10.0,19.0,-1.0,555.0,7,1.0,0.0
BC,2,Long (8+),Red Zone,Trailing 8+,Early Half,1,0.0,10.0,16.0,-17.0,883.0,20,0.85,-0.85
BC,2,Long (8+),Red Zone,Trailing 8+,Late Half,2,1.0,10.0,16.0,-13.5,214.0,14,1.0,0.0
BC,2,Medium (4-7),Midfield,Leading 1-7,2-min,3,0.6666666666666666,6.333333333333333,52.0,6.333333333333333,74.66666666666667,7,0.7142857142857143,-0.04761904761904767
BC,2,Medium (4-7),Midfield,Leading 1-7,Early Half,3,1.0,6.0,49.0,5.333333333333333,1029.6666666666667,42,0.8809523809523809,0.11904761904761907
BC,2,Medium (4-7),Midfield,Leading 1-7,Late Half,1,1.0,7.0,43.0,6.0,190.0,28,0.9285714285714286,0.0714285714285714
